model,mae,rmse,mape_pct,bias_pct
local_seasonal_trend,1898.83604441579,3033.176059134509,16.916247096830066,17.05536944739597
seasonal_naive_7d,1936.185516336667,3008.466916305877,21.910523864196687,16.459301467521772
moving_average_28d,2175.099019859065,3100.4424791489673,23.028144460053134,2.7008954760003303
moving_average_7d,2251.9780824257955,3291.473866528279,24.74457581453504,13.277534463026175
